Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),170,10.1
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),170,10.1
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"201,297,844",33.1
CENSUS,2021,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"15,851,189",31.1
CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),5,(H)
CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),5,(H)
CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"55,000",(H)
CENSUS,2021,YEAR,,STATE,ARIZONA,4,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,550",(H)
CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,68.9
CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,68.9
CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"68,747,320",89.5
CENSUS,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"3,261,230",70.3
CENSUS,2021,YEAR,,STATE,COLORADO,8,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,(H)
CENSUS,2021,YEAR,,STATE,COLORADO,8,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,(H)
CENSUS,2021,YEAR,,STATE,COLORADO,8,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,COLORADO,8,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,(H)
CENSUS,2021,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,(H)
